ZIP,NAME,FACILITY_TYPE,latitude,longitude
33169,Miami Norland Senior High,Public School,25.95132,-80.21914
33177,Robert Morgan Educational Center Senior High,Public School,25.59915,-80.39007
33186,Claude Pepper Elementary,Public School,25.67654,-80.42996
33031,Maintenance Service Center 4,Public School,25.53721,-80.44975
33179,Madie Ives Elementary PLC-M,Public School,25.96564,-80.17455
33177,Caribbean K-8 Center,Public School,25.58045,-80.38627
33056,Barbara Hawkins Elementary,Public School,25.94668,-80.26205
33126,Kinloch Park Elementary,Public School,25.77302,-80.26522
33127,Young Men's Preparatory Academy Senior High,Public School,25.80524,-80.19904
33150,Jesse J. McCrary Jr. Elementary,Public School,25.84509,-80.20537
33144,Fairlawn Elementary,Public School,25.76664,-80.29351
33169,Parkway Elementary,Public School,25.94543,-80.22386
33126,Charles R. Hadley Elementary,Public School,25.77532,-80.33281
33142,Maintenance Service Center 2,Public School,25.81309,-80.24291
33034,Transportation Center South,Public School,25.44154,-80.47878
33012,Meadowlane Elementary,Public School,25.86172,-80.29898
33165,Royal Palm Elementary,Public School,25.72923,-80.37667
33166,Springview Elementary,Public School,25.83323,-80.30309
33168,Hubert O. Sibley K-8 Center,Public School,25.8808,-80.20353
33144,Materials Control Center,Public School,25.76998,-80.30933
33189,Gulfstream Elementary,Public School,25.57276,-80.34858
33054,North Dade Center For Modern Languages Elementary,Public School,25.91635,-80.22964
33180,Virginia A. Boone/Highland Oaks Elementary,Public School,25.96576,-80.15471
33166,Miami Springs Adult Education,Public School,25.83038,-80.29467
33175,Dade County Public School-Management Information,Public School,25.74429,-80.40724
33127,Lindsey Hopkins Technical College,Public School,25.79504,-80.20763
33140,Miami Beach Nautilus Middle,Public School,25.81533,-80.13455
33010,James H. Bright Elementary/J.W. Johnson Elementary,Public School,25.84482,-80.30256
33142,Transportation Center Northeast,Public School,25.82918,-80.24076
33177,Miami Heights Elementary,Public School,25.60417,-80.38028
33177,South Miami Heights Elementary,Public School,25.59033,-80.38958
33189,Cutler Ridge Elementary,Public School,25.57975,-80.35383
33015,American Senior High Adult Education,Public School,25.93941,-80.30756
33165,Miami Coral Park Adult Education,Public School,25.75528,-80.34052
33018,Hialeah Gardens Middle,Public School,25.8798,-80.34791
33015,American Senior High,Public School,25.93962,-80.30851
33160,Norman S. Edelcup/Sunny Isles Beach K-8,Public School,25.94474,-80.12317
33169,Norland Middle,Public School,25.95095,-80.22267
33142,Miami Jackson Senior High,Public School,25.81028,-80.22614
33167,Carrie P. Meek/Westview K-8 Center Annex,Public School,25.89075,-80.23159
33156,Pinecrest Elementary,Public School,25.67619,-80.2848
33180,Highland Oaks Middle,Public School,25.96398,-80.15417
33184,Marjory Stoneman Douglas Elementary,Public School,25.76666,-80.3894
33199,Academy for Advanced Academics - South,Public School,25.75807,-80.37702
33018,Hialeah Gardens Elementary,Public School,25.89103,-80.35698
33143,Ludlam Elementary,Public School,25.70224,-80.30078
33166,Miami Springs Middle,Public School,25.81489,-80.27353
33147,Vacant Property,Public School,25.85278,-80.24482
33127,Paul Laurence Dunbar K-8 Center,Public School,25.79642,-80.20342
33183,Winston Park K-8 Center,Public School,25.69568,-80.40637
33056,North County K-8 Center,Public School,25.964,-80.25479
33167,Henry E.S. Reeves K-8 Center,Public School,25.87623,-80.23181
33133,Frances S. Tucker Elementary,Public School,25.72632,-80.25393
33196,Dr. Gilbert L. Porter Elementary,Public School,25.66468,-80.45267
33147,Miami Central Senior High,Public School,25.8617,-80.2283
33162,Oak Grove Elementary,Public School,25.9188,-80.18412
33032,Goulds Elementary,Public School,25.54888,-80.37164
33130,Young Women's Preparatory Academy,Public School,25.77238,-80.21396
33034,Florida City Elementary,Public School,25.45201,-80.48621
33155,Everglades K-8 Center,Public School,25.75662,-80.32999
33155,Coral Terrace Elementary,Public School,25.74852,-80.3063
33145,Shenandoah Middle,Public School,25.75423,-80.227
33150,Dr. Marvin Dunn Academy For Community Education,Public School,25.85565,-80.20193
33031,Transportation Redland Vehicle Maintenance,Public School,25.53711,-80.44975
33016,Ben Sheppard Elementary PLC-V,Public School,25.8738,-80.33084
33056,Parkview Elementary,Public School,25.93554,-80.23445
33178,School For Advanced Studies West,Public School,25.80833,-80.38456
33013,Hialeah Middle,Public School,25.87761,-80.26848
33142,Miami Jackson Adult Education,Public School,25.81028,-80.22614
33126,Henry M. Flagler Elementary,Public School,25.77204,-80.28133
